text,date,game
I thought Montreal played with great,10/3/2018,1
effort great structure,10/3/2018,1
I thought they worked real hard I,10/3/2018,1
thought they're above the puck I thought,10/3/2018,1
they were happy to put it in and get on,10/3/2018,1
top of us,10/3/2018,1
I thought they worked real hard to tell,10/3/2018,1
the truth I thought we got a good,10/3/2018,1
goaltending I thought they got really,10/3/2018,1
good goaltending as well we had some,10/3/2018,1
great days but in the end you know we,10/3/2018,1
won the game but we had a work way,10/3/2018,1
harder and play way better than we did,10/3/2018,1
tonight and you know what you guys can,10/3/2018,1
write all you want and tell everybody,10/3/2018,1
how great we all are but it's the,10/3/2018,1
National Hockey League and you got to,10/3/2018,1
come to work every day and if you don't,10/3/2018,1
work harder than the other team you,10/3/2018,1
don't put your work before your talent,10/3/2018,1
you don't win if you turn the puck over,10/3/2018,1
you know win so there's probably lots of,10/3/2018,1
good messages every night yeah the when,10/3/2018,1
the pucks drop you're playing a really,10/3/2018,1
good team,10/3/2018,1
it doesn't matter how many points they,10/3/2018,1
have I'm telling you they're real good,10/3/2018,1
team so I think I mentioned that this,10/3/2018,1
morning when I had to line up one out,10/3/2018,1
about the other I mentioned that same,10/3/2018,1
thing and but sometimes it doesn't,10/3/2018,1
matter what I say it's more about what,10/3/2018,1
they know after they get out there I,10/3/2018,1
thought tonight was a real good message,10/3/2018,1
and we got two points at home well I,10/3/2018,1
just think that when the other team is,10/3/2018,1
on top here and they're hungry you and,10/3/2018,1
their one or more 5050 bottles then part,10/3/2018,1
of its execution part of its work part,10/3/2018,1
of its you know if you don't come back,10/3/2018,1
and stop you flow by it's hard to,10/3/2018,1
execute so don't get me wrong I like,10/3/2018,1
winning so that's what the game whole,10/3/2018,1
game that's why he came here tonight and,10/3/2018,1
a real nice play by our guys in overtime,10/3/2018,1
and having the men we changed we were,10/3/2018,1
fresh came with speed all those things,10/3/2018,1
we scored a nice power play goal or,10/3/2018,1
penalty kill looked good we made the,10/3/2018,1
mistake therefore the goal I thought,10/3/2018,1
there was lots of good things I thought,10/3/2018,1
Lindholm was really good you know with,10/3/2018,1
that derma played well but we're way,10/3/2018,1
better than that and we expect more,10/3/2018,1
hustle,10/3/2018,1
yeah obviously and it was good gold,10/3/2018,1
liebe when ttle in that heart just,10/3/2018,1
enough to distract carry a little bit,10/3/2018,1
and he was able to make the shot yeah,10/3/2018,1
you know obviously Matthews but I think,10/3/2018,1
we can be you know I just I think we're,10/3/2018,1
better and don't want to play better and,10/3/2018,1
play right and we will and then just,10/3/2018,1
just like you guys you're learning them,10/3/2018,1
like I think you think there's a big,10/3/2018,1
carry oil from year to year there's not,10/3/2018,1
you know I've been in the league a long,10/3/2018,1
time you start all over again each and,10/3/2018,1
every year and and this is a different,10/3/2018,1
kind of team with a different set of,10/3/2018,1
expectations but yeah you know when,10/3/2018,1
you're real scared it's easy to work,10/3/2018,1
hard when you're not as scared it's not,10/3/2018,1
as easy to work hard and so hopefully,10/3/2018,1
that'll put a little scare on us and get,10/3/2018,1
going I thought I said that already I,10/3/2018,1
mean they were on top of us all the time,10/3/2018,1
so why not just get on top of them and,10/3/2018,1
then it'll be way smoother coming out of,10/3/2018,1
our own zone,10/3/2018,1
you know if they establish their game,10/3/2018,1
first and they get on top of you first,10/3/2018,1
and they're in a five-man you know,10/3/2018,1
there's no space hard to make place if,10/3/2018,1
you get on top of them and you create,10/3/2018,1
space and you start wearing a motor out,10/3/2018,1
changing them then you look pretty,10/3/2018,1
smooth so tonight we didn't look that,10/3/2018,1
smooth no we did win right see you guys,10/3/2018,1
well I just I thought you know really if,10/6/2018,2
you're gonna be one in one probably,10/6/2018,2
should've won tonight lost means,10/6/2018,2
Montreal to be honest with you we had,10/6/2018,2
tons of heavy opportunities in play but,10/6/2018,2
