game,Date,Opponent,GF,GA,results,ot,shotsfor,shotsagainst,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,season
1,10/2/2019,Ottawa Senators,5,3,W,,42,26,53,35,60.2,42,28,60,17,31,35.4,45.5,100.2,2019
2,10/4/2019,Columbus Blue Jackets,4,1,W,,29,29,34,29,54,21,21,50,24,16,60,55.1,112.5,2019
3,10/5/2019,Montreal Canadiens,5,6,L,SO,37,42,45,59,43.3,32,48,40,29,23,55.8,43.2,102.5,2019
4,10/7/2019,St. Louis Blues,2,3,L,,34,30,56,28,66.7,42,24,63.6,23,21,52.3,54.8,88,2019
5,10/10/2019,Tampa Bay Lightning,3,7,L,,28,33,47,40,54,29,31,48.3,24,17,58.5,38.1,88.8,2019
6,10/12/2019,Detroit Red Wings,5,2,W,,41,27,60,31,65.9,38,20,65.5,25,19,56.8,46.4,104.4,2019
7,10/15/2019,Minnesota Wild,4,2,W,,34,29,44,29,60.3,32,22,59.3,20,16,55.6,51.9,96.6,2019
8,10/16/2019,Washington Capitals,3,4,L,,32,32,54,44,55.1,34,30,53.1,21,17,55.3,46.4,94.4,2019
9,10/19/2019,Boston Bruins,4,3,W,OT,29,46,32,44,42.1,26,35,42.6,23,19,54.8,51.1,114.2,2019
10,10/21/2019,Columbus Blue Jackets,3,4,L,OT,31,38,33,30,52.4,23,22,51.1,27,11,71.1,44.9,107.8,2019
11,10/22/2019,Boston Bruins,2,4,L,,30,39,23,37,38.3,17,31,35.4,21,25,45.7,37.2,96,2019
12,10/25/2019,San Jose Sharks,4,1,W,,27,17,40,22,64.5,29,15,65.9,14,12,53.8,60,108.9,2019
13,10/26/2019,Montreal Canadiens,2,5,L,,31,38,43,51,45.7,30,38,44.1,26,28,48.1,63.9,94,2019
14,10/29/2019,Washington Capitals,3,4,L,OT,31,33,32,31,50.8,27,26,50.9,31,19,62,59.8,100.7,2019
15,11/2/2019,Philadelphia Flyers,4,3,W,SO,26,40,32,41,43.8,22,33,40,16,21,43.2,30.2,112.9,2019
1,10/3/2018,Montreal Canadiens,3,2,W,OT,26,36,49,63,43.8,35,42,45.5,32,18,64,35.3,105.8,2018
2,10/6/2018,Ottawa Senators,3,5,L,,37,24,76,36,67.9,51,30,63,34,33,50.7,65.2,84.9,2018
3,10/7/2018,Chicago Blackhawks,7,6,W,OT,34,31,52,64,44.8,38,38,50,27,26,50.9,43.3,100,2018
4,10/9/2018,Dallas Stars,7,4,W,,30,34,60,54,52.6,45,44,50.6,26,29,47.3,50,109.4,2018
5,10/11/2018,Detroit Red Wings,5,3,W,,35,29,37,50,42.5,34,41,45.3,27,26,50.9,53.1,100.5,2018
6,10/13/2018,Washington Capitals,4,2,W,,28,27,48,49,49.5,32,33,49.2,19,19,50,52.4,109.1,2018
7,10/15/2018,Los Angeles Kings,4,1,W,,25,34,46,60,43.4,28,44,38.9,23,27,46,53.1,111.8,2018
8,10/18/2018,Pittsburgh Penguins,0,3,L,,38,38,80,71,53,58,64,47.5,30,24,55.6,42.3,94.6,2018
9,10/20/2018,St. Louis Blues,1,4,L,,23,25,42,38,52.5,29,28,50.9,20,25,44.4,50.3,89.6,2018
10,10/24/2018,Winnipeg Jets,4,2,W,,39,40,60,68,46.9,45,54,45.5,27,30,47.4,43.2,108.9,2018
11,10/27/2018,Winnipeg Jets,3,2,W,,31,24,55,42,56.7,43,35,55.1,24,27,47.1,58.6,105.7,2018
12,10/29/2018,Calgary Flames,1,3,L,,25,34,49,49,50,37,39,48.7,30,25,54.5,38.9,92.9,2018
13,11/1/2018,Dallas Stars,1,2,L,,32,19,44,30,59.5,31,22,58.5,12,28,30,57.7,86.7,2018
14,11/3/2018,Pittsburgh Penguins,5,0,W,,33,31,45,40,52.9,33,31,51.6,39,24,61.9,47.5,113.6,2018
15,11/6/2018,Vegas Golden Knights,3,1,W,,21,37,37,69,34.9,26,53,32.9,31,21,59.6,29.7,113.3,2018
16,11/9/2018,New Jersey Devils,6,1,W,,32,39,48,56,46.2,34,44,43.6,29,19,60.4,46.8,118.3,2018
17,11/10/2018,Boston Bruins,1,5,L,,41,34,43,44,49.4,32,33,49.2,22,30,42.3,44.8,92.5,2018
18,11/13/2018,Los Angeles Kings,5,1,W,,35,23,39,44,47,27,29,48.2,21,19,52.5,47.6,105.2,2018
19,11/15/2018,San Jose Sharks,5,3,W,,34,45,58,63,47.9,40,54,42.6,29,18,61.7,35.9,109.9,2018
