Player,Tm,Salary,Cap Hit
John Tavares,TOR,15900000,11000000
Auston Matthews,TOR,15900000,11634000
Carey Price,MTL,15000000,10500000
Erik Karlsson,SJS,14500000,11500000
Connor McDavid,EDM,14000000,12500000
Artemi Panarin,NYR,14000000,11642857
Tyler Seguin,DAL,13500000,9850000
Jamie Benn,DAL,13000000,9500000
John Carlson,WSH,12000000,8000000
Drew Doughty,LAK,12000000,11000000
Mark Stone,VEG,12000000,9500000
Sebastian Aho,CAR,12000000,8454000
Nikita Kucherov,TBL,12000000,9500000
Sergei Bobrovsky,FLA,11500000,10000000
Anze Kopitar,LAK,11000000,10000000
Max Pacioretty,VEG,10500000,7000000
P.K. Subban,NJD,10000000,9000000
Alex Ovechkin,WSH,10000000,9538462
Logan Couture,SJS,10000000,8000000
Brent Burns,SJS,10000000,8000000
Jeff Skinner,BUF,10000000,9000000
Blake Wheeler,WPG,10000000,8250000
Jack Eichel,BUF,10000000,10000000
Matt Duchene,NSH,10000000,8000000
Jonathan Toews,CHI,9800000,10500000
Patrick Kane,CHI,9800000,10500000
Vladimir Tarasenko,STL,9500000,7500000
Steven Stamkos,TBL,9500000,8500000
Evgeni Malkin,PIT,9500000,9500000
Jakub Voracek,PHI,9250000,8250000
Anders Lee,NYI,9000000,7000000
Leon Draisaitl,EDM,9000000,8500000
William Nylander,TOR,9000000,6962366
Zach Parise,MIN,9000000,7538461
Sidney Crosby,PIT,9000000,8700000
Aaron Ekblad,FLA,9000000,7500000
Ryan Suter,MIN,9000000,7538461
Kevin Hayes,PHI,9000000,7142857
Nate Schmidt,VEG,8800000,5950000
Marc-Andre Fleury,VEG,8500000,7000000
Evgeny Kuznetsov,WSH,8400000,7800000
Ryan McDonagh,TBL,8400000,6750000
Ryan Getzlaf,ANA,8275000,8250000
Nicklas Backstrom,WSH,8000000,6700000
Ryan Johansen,NSH,8000000,8000000
Claude Giroux,PHI,8000000,8275000
Dustin Byfuglien,WPG,8000000,7600000
Evander Kane,SJS,8000000,7000000
Oliver Ekman-Larsson,ARI,8000000,8250000
James van Riemsdyk,PHI,8000000,7000000
Brock Nelson,NYI,8000000,6000000
Victor Hedman,TBL,8000000,7875000
Joe Pavelski,DAL,8000000,7000000
Ryan Ellis,NSH,7700000,6250000
Bobby Ryan,OTT,7500000,7250000
Brad Marchand,BOS,7500000,6125000
Brent Seabrook,CHI,7500000,6875000
Cam Fowler,ANA,7500000,6500000
Alex Pietrangelo,STL,7500000,6500000
"Dumba, Matt",MIN,7400000,6000000
Cam Atkinson,CBJ,7375000,5875000
Marc-Edouard Vlasic,SJS,7250000,7000000
Jordan Eberle,NYI,7250000,5500000
Kris Letang,PIT,7250000,7250000
Jonathan Quick,LAK,7000000,5800000
Henrik Lundqvist,NYR,7000000,8500000
Esa Lindell,DAL,7000000,5800000
Jake Guentzel,PIT,7000000,6000000
Tyler Myers,VAN,7000000,6000000
David Krejci,BOS,7000000,7250000
Dylan Larkin,DET,7000000,6100000
Alexander Edler,VAN,7000000,6000000
Aleksander Barkov,FLA,6900000,5900000
David Pastrnak,BOS,6800000,6666666
Johnny Gaudreau,CGY,6750000,6750000
Nathan MacKinnon,COL,6750000,6300000
Martin Jones,SJS,6750000,5750000
Brandon Saad,CHI,6750000,6000000
Mark Scheifele,WPG,6750000,6125000
Mark Giordano,CGY,6750000,6750000
Sean Monahan,CGY,6750000,6375000
Ryan Kesler,ANA,6675000,6875000
Kevin Shattenkirk,NYR,6600000,6650000
Alexander Radulov,DAL,6600000,6250000
Dmitry Orlov,WSH,6500000,5100000
Tuukka Rask,BOS,6500000,7000000
Paul Stastny,VEG,6500000,6500000
Bryan Little,WPG,6500000,5291666
Mikael Granlund,NSH,6500000,5750000
Nikolaj Ehlers,WPG,6500000,6000000
T.J. Oshie,WSH,6500000,5750000
John Gibson,ANA,6400000,6400000
Yanni Gourde,TBL,6300000,5166666
Tomas Hertl,SJS,6250000,5625000
Jason Zucker,MIN,6250000,5500000
Teuvo Teravainen,CAR,6250000,5400000
Jonathan Huberdeau,FLA,6200000,5900000
Gustav Nyquist,CBJ,6000000,5500000
J.T. Miller,VAN,6000000,5250000
Ilya Kovalchuk,LAK,6000000,6250000
Erik Johnson,COL,6000000,6000000
Ryan O'Reilly,STL,6000000,7500000
Josh Bailey,NYI,6000000,5000000
Connor Hellebuyck,WPG,6000000,6166666
Niklas Hjalmarsson,ARI,6000000,5000000
Justin Faulk,CAR,6000000,4833333
Jordan Staal,CAR,6000000,6000000
Nick Leddy,NYI,6000000,5500000
Justin Schultz,PIT,6000000,5500000
Semyon Varlamov,NYI,6000000,5000000
Kyle Okposo,BUF,6000000,6000000
Kyle Turris,NSH,6000000,6000000
Pekka Rinne,NSH,6000000,5000000
Johnny Boychuk,NYI,6000000,6000000
Taylor Hall,NJD,6000000,6000000
"Marchessault, Jonathan",VEG,6000000,5000000
Dougie Hamilton,CAR,6000000,5750000
Filip Forsberg,NSH,6000000,6000000
Ryan Nugent-Hopkins,EDM,6000000,6000000
Shea Weber,MTL,6000000,7857143
Zach Bogosian,BUF,6000000,5142857
Cory Schneider,NJD,6000000,6000000
Milan Lucic,EDM,6000000,6000000
Gabriel Landeskog,COL,6000000,5571429
Phil Kessel,ARI,5950000,6800000
William Karlsson,VEG,5900000,5900000
Nino Niederreiter,CAR,5850000,5250000
Brandon Dubinsky,CBJ,5850000,5850000
Elias Lindholm,CGY,5850000,4850000
Mikael Backlund,CGY,5850000,5350000
Adam Henrique,ANA,5825000,5825000
Alex Goligoski,ARI,5800000,5475000
Bo Horvat,VAN,5775000,5500000
Jaden Schwartz,STL,5750000,5350000
Matt Niskanen,PHI,5750000,5750000
Keith Yandle,FLA,5750000,6350000
Travis Zajac,NJD,5750000,5750000
James Neal,CGY,5750000,5750000
Mike Hoffman,FLA,5650000,5187500
Colton Parayko,STL,5525000,5500000
Dustin Brown,LAK,5500000,5875000
Tyler Johnson,TBL,5500000,5000000
Anton Stralman,FLA,5500000,5500000
Jonathan Drouin,MTL,5500000,5500000
Jaccob Slavin,CAR,5500000,5300000
Frans Nielsen,DET,5500000,5250000
Jared Spurgeon,MIN,5500000,5187500
"Steen, Alexander",STL,5500000,5750000
Danny DeKeyser,DET,5500000,5000000
Nick Foligno,CBJ,5500000,5500000
Ben Bishop,DAL,5500000,4916666
Rasmus Ristolainen,BUF,5400000,5400000
Brady Skjei,NYR,5400000,5250000
Seth Jones,CBJ,5400000,5400000
Mika Zibanejad,NYR,5350000,5350000
Alexander Wennberg,CBJ,5350000,4900000
Patric Hornqvist,PIT,5300000,5300000
Ondrej Palat,TBL,5300000,5300000
"Tanev, Christopher",VAN,5250000,4450000
Shayne Gostisbehere,PHI,5250000,4500000
Jakob Silfverberg,ANA,5250000,5250000
Hampus Lindholm,ANA,5250000,5205556
Vincent Trocheck,FLA,5250000,4750000
Tyler Bozak,STL,5250000,5000000
Mike Green,DET,5250000,5375000
Shea Theodore,VEG,5200000,5200000
Jake Allen,STL,5200000,4350000
Mikko Koskinen,EDM,5200000,4500000
Adam Larsson,EDM,5050000,4166666
David Savard,CBJ,5000000,4250000
John Klingberg,DAL,5000000,4250000
Braden Holtby,WSH,5000000,6100000
Alexander Kerfoot,TOR,5000000,3500000
Mikko Koivu,MIN,5000000,5500000
Kyle Palmieri,NJD,5000000,4650000
Marc Staal,NYR,5000000,5700000
Wayne Simmonds,NJD,5000000,5000000
Frederik Andersen,TOR,5000000,5000000
Mats Zuccarello,MIN,5000000,6000000
Loui Eriksson,VAN,5000000,6000000
Derek Stepan,ARI,5000000,6500000
Torey Krug,BOS,5000000,5250000
Andrew Ladd,NYI,5000000,5500000
Antti Raanta,ARI,5000000,4250000
Morgan Rielly,TOR,5000000,5000000
Robin Lehner,CHI,5000000,5000000
Andy Greene,NJD,5000000,5000000
Reilly Smith,VEG,5000000,5000000
Andreas Johnsson,TOR,5000000,3400000
Corey Crawford,CHI,5000000,6000000
Nick Bjugstad,PIT,5000000,4100000
Tomas Tatar,MTL,4981132,4800000
Noah Hanifin,CGY,4950000,4950000
Alex Galchenyuk,PIT,4900000,4900000
